,customer,recency,frequency,monetary,country
0,12940,14,2,899.69,United Kingdom
1,13285,3,4,2709.12,United Kingdom
2,13623,13,5,727.74,United Kingdom
3,13832,10,1,52.2,United Kingdom
4,14450,7,3,483.25,United Kingdom
5,14570,26,2,218.06,United Kingdom
6,15447,17,1,155.17,United Kingdom
7,15619,1,1,336.4,United Kingdom
8,15727,5,7,5159.06,United Kingdom
9,15790,1,1,218.75,United Kingdom
10,15957,22,1,428.89,United Kingdom
11,16339,2,1,94.05,United Kingdom
12,16386,0,2,302.57,United Kingdom
13,16503,5,4,1431.93,United Kingdom
14,16574,1,1,451.44,United Kingdom
15,16861,19,2,173.76,United Kingdom
16,17389,0,34,31833.68,United Kingdom
17,17420,9,3,598.83,United Kingdom
18,17679,12,2,1992.11,United Kingdom
19,18024,20,2,389.78,United Kingdom
20,12367,25,1,168.9,Denmark
21,12471,1,30,19788.65,Germany
22,12611,12,1,1193.32,Italy
23,12626,0,9,6620.48,Germany
24,12715,5,1,343.36,Sweden
25,13261,3,2,944.1,United Kingdom
26,14075,7,3,942.26,United Kingdom
27,14148,10,1,157.2,United Kingdom
28,14423,25,1,265.2,United Kingdom
29,14465,20,3,1038.44,United Kingdom
30,14514,8,3,990.2,United Kingdom
31,14536,5,1,170.95,United Kingdom
32,15004,15,1,1220.77,United Kingdom
33,15100,20,3,876.0,United Kingdom
34,15254,26,1,300.36,United Kingdom
35,15967,5,2,397.68,United Kingdom
36,16500,7,6,400.86,United Kingdom
37,16916,14,2,562.41,United Kingdom
38,17172,8,1,317.76,United Kingdom
39,18161,6,5,1618.69,United Kingdom
40,18218,18,2,641.92,United Kingdom
41,18282,25,2,178.05,United Kingdom
42,12393,2,4,1582.6,Australia
43,13060,0,1,307.53,United Kingdom
44,13207,6,2,250.26,United Kingdom
45,13483,25,1,140.34,United Kingdom
46,13601,5,2,693.32,United Kingdom
47,13875,1,5,1786.79,United Kingdom
48,14289,2,6,911.26,United Kingdom
49,14377,8,2,617.05,United Kingdom
50,14420,29,1,387.52,United Kingdom
51,14714,15,1,160.19,United Kingdom
52,14837,4,4,1649.5,United Kingdom
53,14997,6,3,546.2,United Kingdom
54,15296,8,6,3672.86,United Kingdom
55,15655,20,1,560.67,United Kingdom
56,15738,0,16,4812.42,United Kingdom
57,16283,15,5,1570.81,United Kingdom
58,16680,3,1,183.7,United Kingdom
59,16791,9,7,1705.78,United Kingdom
60,16924,12,3,829.89,United Kingdom
61,17044,16,1,948.48,United Kingdom
62,17708,11,2,263.33,United Kingdom
63,17754,6,5,1664.65,United Kingdom
64,17775,0,1,56.4,United Kingdom
65,17783,2,2,283.47,United Kingdom
66,17809,7,12,5411.91,United Kingdom
67,17837,1,8,1541.23,United Kingdom
68,18221,13,5,1041.61,United Kingdom
69,13188,2,1,114.6,United Kingdom
70,13508,20,1,110.97,United Kingdom
71,13898,12,1,155.93,United Kingdom
72,14315,2,6,2481.13,United Kingdom
73,14958,15,3,483.73,United Kingdom
74,15382,5,6,5955.71,United Kingdom
75,15604,12,1,216.39,United Kingdom
76,16224,9,4,1295.3,United Kingdom
77,16828,11,2,128.5,United Kingdom
78,17193,5,7,1699.3,United Kingdom
79,17223,28,2,416.89,United Kingdom
80,17712,4,1,522.91,United Kingdom
81,18043,13,3,529.29,United Kingdom
82,12607,20,1,1579.51,USA
83,13225,3,7,6463.84,United Kingdom
84,13329,22,2,789.0,United Kingdom
85,13398,0,1,457.34,United Kingdom
86,13504,24,1,295.93,United Kingdom
87,13923,13,1,351.13,United Kingdom
88,14660,0,2,285.74,United Kingdom
89,14713,0,11,2662.2,United Kingdom
90,14752,3,1,389.64,United Kingdom
91,14770,9,2,876.42,United Kingdom
92,14779,9,3,386.15,United Kingdom
93,14944,7,12,5900.25,United Kingdom
94,15292,8,1,178.39,United Kingdom
95,15429,5,2,397.35,United Kingdom
96,15535,11,4,502.9,United Kingdom
97,15740,9,1,154.88,United Kingdom
98,16094,2,4,1078.23,United Kingdom
99,16117,27,1,232.21,United Kingdom
100,16232,3,4,990.88,United Kingdom
101,16565,385,1,173.7,United Kingdom
102,16706,13,3,531.35,United Kingdom
103,16999,4,2,484.82,United Kingdom
104,17154,5,1,329.34,United Kingdom
105,17190,14,2,444.74,United Kingdom
106,17836,7,1,110.21,United Kingdom
107,17950,2,3,482.2,United Kingdom
108,12694,0,2,869.67,France
109,13468,0,37,5704.97,United Kingdom
110,13500,14,3,1166.77,United Kingdom
111,14054,25,1,92.46,United Kingdom
112,14124,14,1,419.58,United Kingdom
113,15026,10,3,469.0,United Kingdom
114,15070,393,1,106.2,United Kingdom
115,15146,2,2,1327.16,United Kingdom
116,15221,387,1,403.25,United Kingdom
117,15462,11,3,234.6,United Kingdom
118,15594,6,5,1771.78,United Kingdom
119,16027,2,6,934.62,United Kingdom
120,16119,2,2,423.36,United Kingdom
121,16295,0,4,1328.55,United Kingdom
122,16506,0,2,90.3,United Kingdom
123,16510,393,1,248.1,United Kingdom
124,16526,9,1,290.36,United Kingdom
125,16549,1,10,4034.9,United Kingdom
126,16985,0,10,5464.12,United Kingdom
127,17346,2,15,2622.88,United Kingdom
128,17438,0,1,388.45,United Kingdom
129,12530,10,4,1662.28,Germany
130,12717,19,2,1030.98,Greece
131,13313,9,5,1555.32,United Kingdom
132,13544,0,2,276.06,United Kingdom
133,14030,9,8,2358.84,United Kingdom
134,14245,9,2,1693.45,United Kingdom
135,14284,16,2,595.25,United Kingdom
136,14477,10,4,1309.6,United Kingdom
137,15216,17,1,96.6,United Kingdom
138,15584,0,4,720.86,United Kingdom
139,15781,5,3,345.46,United Kingdom
140,15827,3,14,1836.09,United Kingdom
141,15983,13,4,1465.12,United Kingdom
142,16255,0,8,2619.91,United Kingdom
143,16257,14,1,46.95,United Kingdom
144,16505,22,1,777.6,United Kingdom
145,16601,0,1,242.7,United Kingdom
146,17213,0,7,2781.23,United Kingdom
147,17613,1,14,4544.55,United Kingdom
148,17677,0,30,16345.38,United Kingdom
149,17904,12,1,181.07,United Kingdom
150,12559,6,2,561.71,Germany
151,12723,7,5,725.07,France
152,12727,1,7,3980.7,France
153,12757,6,13,7834.65,Portugal
154,14532,0,4,932.85,United Kingdom
155,14760,15,1,89.2,United Kingdom
156,15157,22,3,1936.07,United Kingdom
157,15348,2,1,158.04,United Kingdom
158,15634,8,1,243.55,United Kingdom
159,16766,19,2,1145.6,United Kingdom
160,16800,2,1,1162.65,United Kingdom
161,16835,27,2,180.85,United Kingdom
162,16947,12,1,406.48,United Kingdom
163,16954,0,9,2085.08,United Kingdom
164,17392,24,2,417.27,United Kingdom
165,17396,0,8,7330.8,United Kingdom
166,17462,2,2,675.69,United Kingdom
167,17502,0,4,689.1,United Kingdom
168,17924,0,7,2962.5,United Kingdom
169,18174,28,1,104.0,United Kingdom
170,12401,21,1,84.3,Belgium
171,12436,29,1,509.01,Norway
172,12523,3,11,1789.77,France
173,14437,386,1,63.0,United Kingdom
174,15091,27,1,480.71,United Kingdom
175,15164,15,3,824.58,United Kingdom
176,15270,6,7,2379.49,United Kingdom
177,15904,29,1,164.68,United Kingdom
178,15973,387,1,307.82,United Kingdom
179,16317,15,3,1341.65,United Kingdom
180,16648,2,1,290.66,United Kingdom
181,17265,6,2,550.01,United Kingdom
182,17525,380,1,422.7,United Kingdom
183,17774,13,4,1213.73,United Kingdom
184,17926,1,2,397.29,United Kingdom
185,17969,4,2,228.2,United Kingdom
186,17972,18,1,135.19,United Kingdom
187,18014,19,1,162.22,United Kingdom
188,13003,4,3,149.05,United Kingdom
189,13046,12,2,629.31,United Kingdom
190,13494,29,1,316.26,United Kingdom
191,13516,2,3,1389.41,United Kingdom
192,13967,13,1,80.7,United Kingdom
193,14085,0,18,4421.29,United Kingdom
194,14658,16,2,247.15,United Kingdom
195,15491,0,6,3100.09,United Kingdom
196,15658,4,5,1024.1,United Kingdom
197,16813,0,10,1652.18,United Kingdom
198,17253,9,1,178.26,United Kingdom
199,17430,23,2,265.76,United Kingdom
200,17554,7,5,1952.45,United Kingdom
201,17639,22,1,108.5,United Kingdom
202,12384,19,2,585.27,Switzerland
203,13720,0,4,799.9,United Kingdom
204,13751,6,1,296.25,United Kingdom
205,13994,0,6,2274.14,United Kingdom
206,14064,0,5,1334.34,United Kingdom
207,14332,13,3,840.21,United Kingdom
208,14589,392,1,39.75,United Kingdom
209,14801,21,1,189.34,United Kingdom
210,15093,5,6,4597.02,United Kingdom
211,15497,6,2,1262.2,United Kingdom
212,15557,19,1,468.91,United Kingdom
213,16738,15,1,3.75,United Kingdom
214,16801,0,4,1594.23,United Kingdom
215,16913,8,1,113.44,United Kingdom
216,16968,6,2,439.43,United Kingdom
217,17388,0,4,1259.56,United Kingdom
218,17588,0,3,1240.2,United Kingdom
219,12355,21,1,459.4,Bahrain
220,12494,0,7,1246.1,France
221,12566,16,1,351.65,Germany
222,12755,26,2,3811.95,Japan
223,12782,0,5,2330.92,Portugal
224,12837,11,1,134.1,United Kingdom
225,12854,5,3,1316.25,United Kingdom
226,13066,15,2,470.8,United Kingdom
227,13170,17,1,108.81,United Kingdom
228,13368,2,2,623.4,United Kingdom
229,13594,12,1,396.97,United Kingdom
230,14336,5,4,1614.91,United Kingdom
231,14715,15,4,867.38,United Kingdom
232,14935,15,1,1784.71,Channel Islands
233,15637,12,1,223.36,United Kingdom
234,15716,3,4,1101.11,United Kingdom
235,15850,6,2,234.88,United Kingdom
236,16125,388,1,289.35,United Kingdom
237,16274,394,1,351.75,United Kingdom
238,16721,8,1,292.47,United Kingdom
239,17347,16,1,228.96,United Kingdom
240,17397,13,2,681.41,United Kingdom
241,17508,26,1,387.31,Greece
242,18030,2,2,230.65,United Kingdom
243,18085,17,2,689.95,United Kingdom
244,18105,28,1,113.48,United Kingdom
245,18193,3,1,243.76,United Kingdom
246,12362,2,10,5226.23,Belgium
247,13220,8,4,819.29,United Kingdom
248,13745,0,1,300.04,United Kingdom
249,13782,3,6,908.86,United Kingdom
250,13960,1,2,230.22,United Kingdom
251,14044,2,4,646.42,United Kingdom
252,14101,3,6,5976.79,United Kingdom
253,14410,0,9,1100.27,United Kingdom
254,14501,6,2,251.21,United Kingdom
255,14703,5,1,318.17,United Kingdom
256,15116,2,4,1352.75,United Kingdom
257,15130,7,1,330.11,United Kingdom
258,15844,6,1,130.74,United Kingdom
259,16189,6,2,215.48,United Kingdom
260,16532,3,3,6748.8,United Kingdom
261,16671,2,3,1692.27,United Kingdom
262,16930,17,3,378.89,United Kingdom
263,17001,6,11,3989.57,United Kingdom
264,17353,22,2,1740.0,United Kingdom
265,12447,20,1,476.49,Belgium
266,13027,10,6,6912.0,United Kingdom
267,13109,19,2,786.54,United Kingdom
268,13726,0,2,1079.66,United Kingdom
269,13904,12,2,332.64,United Kingdom
270,14180,0,25,4748.52,United Kingdom
271,14525,0,9,4215.9,United Kingdom
272,14554,1,4,2279.49,United Kingdom
273,14555,17,2,312.54,United Kingdom
274,15060,0,4,294.25,United Kingdom
275,15253,7,5,918.2,United Kingdom
276,15398,7,2,1345.53,United Kingdom
277,15795,17,1,610.01,United Kingdom
278,15840,10,2,355.56,United Kingdom
279,16244,18,2,1522.75,United Kingdom
280,17059,4,5,3080.39,United Kingdom
281,17297,8,1,128.18,United Kingdom
282,17647,25,1,133.06,United Kingdom
283,17678,9,1,298.11,United Kingdom
284,18071,3,2,453.0,United Kingdom
285,18240,6,1,422.58,United Kingdom
286,13045,29,1,305.28,United Kingdom
287,14056,0,23,8152.71,United Kingdom
288,14117,11,1,90.0,United Kingdom
289,14367,1,16,9227.82,United Kingdom
290,14642,18,1,96.12,United Kingdom
291,14687,5,1,628.38,United Kingdom
292,14733,4,12,9585.91,United Kingdom
293,14776,0,11,2538.3,United Kingdom
294,15096,2,1,219.39,United Kingdom
295,15234,22,1,197.0,United Kingdom
296,15503,383,1,141.04,United Kingdom
297,16265,0,9,5447.0,United Kingdom
298,16366,9,1,327.3,United Kingdom
299,16455,1,7,1841.18,United Kingdom
300,16839,0,34,16594.35,United Kingdom
301,17081,6,2,288.91,United Kingdom
302,17147,10,4,1714.59,United Kingdom
303,17890,9,2,586.89,United Kingdom
304,17955,5,4,557.3,United Kingdom
305,18278,3,1,173.9,United Kingdom
306,12373,29,1,364.6,Austria
307,12453,2,1,707.09,Austria
308,12548,4,1,95.2,Spain
309,12885,22,3,1175.22,United Kingdom
310,12913,6,5,2483.63,United Kingdom
311,12948,4,7,2064.95,United Kingdom
312,13104,1,6,1098.48,United Kingdom
313,13166,29,1,417.2,United Kingdom
314,13873,18,3,389.6,United Kingdom
315,14141,3,4,915.13,United Kingdom
316,14177,16,4,549.46,United Kingdom
317,14647,8,1,236.04,United Kingdom
318,15105,2,7,2298.93,United Kingdom
319,15733,28,1,162.3,United Kingdom
320,15923,393,1,127.08,United Kingdom
321,16043,4,4,773.99,United Kingdom
322,16053,21,2,1511.95,United Kingdom
323,17542,15,1,170.75,United Kingdom
324,12725,392,1,427.8,Italy
325,13052,19,1,348.15,United Kingdom
326,13139,2,7,5064.94,United Kingdom
327,14419,1,6,1051.79,United Kingdom
328,14496,29,2,538.81,United Kingdom
329,15024,0,10,1636.43,United Kingdom
330,15062,1,4,987.86,United Kingdom
331,15219,14,1,305.75,United Kingdom
332,15260,0,7,1810.77,United Kingdom
333,15262,10,1,178.95,United Kingdom
334,15332,387,4,1661.06,Lithuania
335,15531,21,2,1972.39,United Kingdom
336,15855,4,5,712.24,United Kingdom
337,16012,23,3,1415.29,United Kingdom
338,16175,7,4,1037.59,United Kingdom
339,16684,1,28,66653.56,United Kingdom
340,16774,10,4,661.52,United Kingdom
341,17070,13,1,304.24,United Kingdom
342,17148,11,1,124.88,United Kingdom
343,17463,0,5,1875.86,United Kingdom
344,18113,389,1,76.32,United Kingdom
345,18248,21,2,804.02,United Kingdom
346,12582,6,2,511.36,Finland
347,12597,0,4,3811.22,Spain
348,12705,2,9,6868.29,Germany
349,12865,17,2,1568.23,Austria
350,12868,3,6,1607.06,United Kingdom
351,13301,2,4,618.09,United Kingdom
352,13523,6,5,3964.88,United Kingdom
353,13946,8,3,561.57,United Kingdom
354,14062,0,12,10464.85,United Kingdom
355,15071,21,2,982.07,United Kingdom
356,15073,0,3,1043.41,United Kingdom
357,15132,4,5,977.93,United Kingdom
358,15263,5,1,156.51,United Kingdom
359,15370,0,7,2386.05,United Kingdom
360,15426,3,5,1404.07,United Kingdom
361,16178,6,1,197.9,United Kingdom
362,16326,0,14,3039.22,United Kingdom
363,16553,1,12,5719.82,United Kingdom
364,16834,4,1,413.46,United Kingdom
365,16885,6,3,450.41,United Kingdom
366,17244,13,1,954.9,United Kingdom
367,17637,14,2,547.06,United Kingdom
368,17709,7,1,137.45,United Kingdom
369,17737,0,2,168.24,United Kingdom
370,18096,2,3,849.06,United Kingdom
371,18147,5,2,179.34,United Kingdom
372,12601,0,5,577.06,Germany
373,13040,24,2,676.99,United Kingdom
374,13081,2,11,28337.38,United Kingdom
375,13416,3,2,712.5,United Kingdom
376,14140,22,2,935.05,United Kingdom
377,14644,16,2,830.76,United Kingdom
378,14720,19,3,663.81,United Kingdom
379,15841,2,4,1224.06,United Kingdom
380,15906,1,7,1567.69,United Kingdom
381,16000,23,3,12393.7,United Kingdom
382,16015,9,3,704.55,United Kingdom
383,16056,5,1,650.75,United Kingdom
384,16078,29,1,79.2,United Kingdom
385,16352,8,2,494.44,United Kingdom
386,17014,23,3,583.43,United Kingdom
387,17053,29,1,498.48,United Kingdom
388,17312,6,3,644.3,United Kingdom
389,17549,11,2,148.86,United Kingdom
390,17584,26,2,1242.3,United Kingdom
391,12893,21,1,176.55,United Kingdom
392,13038,8,3,908.46,United Kingdom
393,13347,0,1,341.36,United Kingdom
394,13497,28,2,348.05,United Kingdom
395,13524,0,5,680.18,United Kingdom
396,13838,16,4,674.82,United Kingdom
397,13992,21,1,76.8,United Kingdom
398,14961,1,9,7044.68,United Kingdom
399,15051,9,3,1383.36,United Kingdom
400,15203,4,6,1827.8,United Kingdom
401,15485,21,3,2564.5,United Kingdom
402,15599,11,2,761.74,United Kingdom
403,15918,17,2,334.23,United Kingdom
404,16150,2,5,2053.02,United Kingdom
405,16243,14,2,409.1,United Kingdom
406,16266,3,7,861.89,United Kingdom
407,16338,25,1,214.8,United Kingdom
408,16571,14,3,1421.69,United Kingdom
409,16969,0,3,650.41,United Kingdom
410,17496,379,1,271.05,United Kingdom
411,17573,15,3,380.6,United Kingdom
412,17813,1,5,1698.07,United Kingdom
413,17895,4,1,95.45,United Kingdom
414,17985,13,1,631.35,United Kingdom
415,12504,9,2,482.05,Germany
416,12659,20,1,91.68,France
417,12662,6,11,3849.78,Germany
418,12731,0,12,18895.91,France
419,12951,6,6,1064.07,United Kingdom
420,13730,3,2,752.6,United Kingdom
421,14096,0,17,65164.79,United Kingdom
422,14287,5,3,176.63,United Kingdom
423,14333,27,1,415.2,United Kingdom
424,14375,23,1,235.56,United Kingdom
425,14808,0,8,2718.6,United Kingdom
426,14888,14,1,369.2,United Kingdom
