customer,recency,frequency,monetary,country,R,F,M,group,cluster,labels
12940,14,2,899.69,United Kingdom,2,2,3,223,0,NORMAL
13285,3,4,2709.12,United Kingdom,3,3,4,334,0,NORMAL
13623,13,5,727.74,United Kingdom,2,3,3,233,0,NORMAL
13832,10,1,52.2,United Kingdom,2,1,1,211,0,NORMAL
14450,7,3,483.25,United Kingdom,3,3,2,332,0,NORMAL
14570,26,2,218.06,United Kingdom,1,2,1,121,0,NORMAL
15447,17,1,155.17,United Kingdom,1,1,1,111,0,NORMAL
15619,1,1,336.4,United Kingdom,4,1,2,412,0,NORMAL
15727,5,7,5159.06,United Kingdom,3,4,4,344,0,NORMAL
15790,1,1,218.75,United Kingdom,4,1,1,411,0,NORMAL
15957,22,1,428.89,United Kingdom,1,1,2,112,0,NORMAL
16339,2,1,94.05,United Kingdom,4,1,1,411,0,NORMAL
16386,0,2,302.57,United Kingdom,4,2,1,421,0,NORMAL
16503,5,4,1431.93,United Kingdom,3,3,3,333,0,NORMAL
16574,1,1,451.44,United Kingdom,4,1,2,412,0,NORMAL
16861,19,2,173.76,United Kingdom,1,2,1,121,0,NORMAL
17389,0,34,31833.68,United Kingdom,4,4,4,444,1,HOT
17420,9,3,598.83,United Kingdom,2,3,2,232,0,NORMAL
17679,12,2,1992.11,United Kingdom,2,2,4,224,0,NORMAL
18024,20,2,389.78,United Kingdom,1,2,2,122,0,NORMAL
12367,25,1,168.9,Denmark,1,1,1,111,0,NORMAL
12471,1,30,19788.65,Germany,4,4,4,444,0,NORMAL
12611,12,1,1193.32,Italy,2,1,3,213,0,NORMAL
12626,0,9,6620.48,Germany,4,4,4,444,0,NORMAL
12715,5,1,343.36,Sweden,3,1,2,312,0,NORMAL
13261,3,2,944.1,United Kingdom,3,2,3,323,0,NORMAL
14075,7,3,942.26,United Kingdom,3,3,3,333,0,NORMAL
14148,10,1,157.2,United Kingdom,2,1,1,211,0,NORMAL
14423,25,1,265.2,United Kingdom,1,1,1,111,0,NORMAL
14465,20,3,1038.44,United Kingdom,1,3,3,133,0,NORMAL
14514,8,3,990.2,United Kingdom,2,3,3,233,0,NORMAL
14536,5,1,170.95,United Kingdom,3,1,1,311,0,NORMAL
15004,15,1,1220.77,United Kingdom,2,1,3,213,0,NORMAL
15100,20,3,876.0,United Kingdom,1,3,3,133,0,NORMAL
15254,26,1,300.36,United Kingdom,1,1,1,111,0,NORMAL
15967,5,2,397.68,United Kingdom,3,2,2,322,0,NORMAL
16500,7,6,400.86,United Kingdom,3,4,2,342,0,NORMAL
16916,14,2,562.41,United Kingdom,2,2,2,222,0,NORMAL
17172,8,1,317.76,United Kingdom,2,1,2,212,0,NORMAL
18161,6,5,1618.69,United Kingdom,3,3,3,333,0,NORMAL
18218,18,2,641.92,United Kingdom,1,2,2,122,0,NORMAL
18282,25,2,178.05,United Kingdom,1,2,1,121,0,NORMAL
12393,2,4,1582.6,Australia,4,3,3,433,0,NORMAL
13060,0,1,307.53,United Kingdom,4,1,2,412,0,NORMAL
13207,6,2,250.26,United Kingdom,3,2,1,321,0,NORMAL
13483,25,1,140.34,United Kingdom,1,1,1,111,0,NORMAL
13601,5,2,693.32,United Kingdom,3,2,3,323,0,NORMAL
13875,1,5,1786.79,United Kingdom,4,3,4,434,0,NORMAL
14289,2,6,911.26,United Kingdom,4,4,3,443,0,NORMAL
14377,8,2,617.05,United Kingdom,2,2,2,222,0,NORMAL
14420,29,1,387.52,United Kingdom,1,1,2,112,0,NORMAL
14714,15,1,160.19,United Kingdom,2,1,1,211,0,NORMAL
14837,4,4,1649.5,United Kingdom,3,3,3,333,0,NORMAL
14997,6,3,546.2,United Kingdom,3,3,2,332,0,NORMAL
15296,8,6,3672.86,United Kingdom,2,4,4,244,0,NORMAL
15655,20,1,560.67,United Kingdom,1,1,2,112,0,NORMAL
15738,0,16,4812.42,United Kingdom,4,4,4,444,0,NORMAL
16283,15,5,1570.81,United Kingdom,2,3,3,233,0,NORMAL
16680,3,1,183.7,United Kingdom,3,1,1,311,0,NORMAL
16791,9,7,1705.78,United Kingdom,2,4,4,244,0,NORMAL
16924,12,3,829.89,United Kingdom,2,3,3,233,0,NORMAL
17044,16,1,948.48,United Kingdom,2,1,3,213,0,NORMAL
17708,11,2,263.33,United Kingdom,2,2,1,221,0,NORMAL
17754,6,5,1664.65,United Kingdom,3,3,4,334,0,NORMAL
17775,0,1,56.4,United Kingdom,4,1,1,411,0,NORMAL
17783,2,2,283.47,United Kingdom,4,2,1,421,0,NORMAL
17809,7,12,5411.91,United Kingdom,3,4,4,344,0,NORMAL
17837,1,8,1541.23,United Kingdom,4,4,3,443,0,NORMAL
18221,13,5,1041.61,United Kingdom,2,3,3,233,0,NORMAL
13188,2,1,114.6,United Kingdom,4,1,1,411,0,NORMAL
13508,20,1,110.97,United Kingdom,1,1,1,111,0,NORMAL
13898,12,1,155.93,United Kingdom,2,1,1,211,0,NORMAL
14315,2,6,2481.13,United Kingdom,4,4,4,444,0,NORMAL
14958,15,3,483.73,United Kingdom,2,3,2,232,0,NORMAL
15382,5,6,5955.71,United Kingdom,3,4,4,344,0,NORMAL
15604,12,1,216.39,United Kingdom,2,1,1,211,0,NORMAL
16224,9,4,1295.3,United Kingdom,2,3,3,233,0,NORMAL
16828,11,2,128.5,United Kingdom,2,2,1,221,0,NORMAL
17193,5,7,1699.3,United Kingdom,3,4,4,344,0,NORMAL
17223,28,2,416.89,United Kingdom,1,2,2,122,0,NORMAL
17712,4,1,522.91,United Kingdom,3,1,2,312,0,NORMAL
18043,13,3,529.29,United Kingdom,2,3,2,232,0,NORMAL
12607,20,1,1579.51,USA,1,1,3,113,0,NORMAL
13225,3,7,6463.84,United Kingdom,3,4,4,344,0,NORMAL
13329,22,2,789.0,United Kingdom,1,2,3,123,0,NORMAL
13398,0,1,457.34,United Kingdom,4,1,2,412,0,NORMAL
13504,24,1,295.93,United Kingdom,1,1,1,111,0,NORMAL
13923,13,1,351.13,United Kingdom,2,1,2,212,0,NORMAL
14660,0,2,285.74,United Kingdom,4,2,1,421,0,NORMAL
14713,0,11,2662.2,United Kingdom,4,4,4,444,0,NORMAL
14752,3,1,389.64,United Kingdom,3,1,2,312,0,NORMAL
14770,9,2,876.42,United Kingdom,2,2,3,223,0,NORMAL
14779,9,3,386.15,United Kingdom,2,3,2,232,0,NORMAL
14944,7,12,5900.25,United Kingdom,3,4,4,344,0,NORMAL
15292,8,1,178.39,United Kingdom,2,1,1,211,0,NORMAL
15429,5,2,397.35,United Kingdom,3,2,2,322,0,NORMAL
15535,11,4,502.9,United Kingdom,2,3,2,232,0,NORMAL
15740,9,1,154.88,United Kingdom,2,1,1,211,0,NORMAL
16094,2,4,1078.23,United Kingdom,4,3,3,433,0,NORMAL
16117,27,1,232.21,United Kingdom,1,1,1,111,0,NORMAL
16232,3,4,990.88,United Kingdom,3,3,3,333,0,NORMAL
16565,385,1,173.7,United Kingdom,1,1,1,111,2,LEFT
16706,13,3,531.35,United Kingdom,2,3,2,232,0,NORMAL
16999,4,2,484.82,United Kingdom,3,2,2,322,0,NORMAL
17154,5,1,329.34,United Kingdom,3,1,2,312,0,NORMAL
17190,14,2,444.74,United Kingdom,2,2,2,222,0,NORMAL
17836,7,1,110.21,United Kingdom,3,1,1,311,0,NORMAL
17950,2,3,482.2,United Kingdom,4,3,2,432,0,NORMAL
12694,0,2,869.67,France,4,2,3,423,0,NORMAL
13468,0,37,5704.97,United Kingdom,4,4,4,444,0,NORMAL
13500,14,3,1166.77,United Kingdom,2,3,3,233,0,NORMAL
14054,25,1,92.46,United Kingdom,1,1,1,111,0,NORMAL
14124,14,1,419.58,United Kingdom,2,1,2,212,0,NORMAL
15026,10,3,469.0,United Kingdom,2,3,2,232,0,NORMAL
15070,393,1,106.2,United Kingdom,1,1,1,111,2,LEFT
15146,2,2,1327.16,United Kingdom,4,2,3,423,0,NORMAL
15221,387,1,403.25,United Kingdom,1,1,2,112,2,LEFT
15462,11,3,234.6,United Kingdom,2,3,1,231,0,NORMAL
15594,6,5,1771.78,United Kingdom,3,3,4,334,0,NORMAL
16027,2,6,934.62,United Kingdom,4,4,3,443,0,NORMAL
16119,2,2,423.36,United Kingdom,4,2,2,422,0,NORMAL
16295,0,4,1328.55,United Kingdom,4,3,3,433,0,NORMAL
16506,0,2,90.3,United Kingdom,4,2,1,421,0,NORMAL
16510,393,1,248.1,United Kingdom,1,1,1,111,2,LEFT
16526,9,1,290.36,United Kingdom,2,1,1,211,0,NORMAL
16549,1,10,4034.9,United Kingdom,4,4,4,444,0,NORMAL
16985,0,10,5464.12,United Kingdom,4,4,4,444,0,NORMAL
17346,2,15,2622.88,United Kingdom,4,4,4,444,0,NORMAL
